2.0	[NP]	a case	an affair	1.0,2.0,2.0,2.0,3.0
1.0	[NNS]	harvests	haircuts	1.0,1.0,1.0,1.0,1.0
1.2	[NP]	a case	that respect	1.0,1.0,1.0,1.0,2.0
1.0	[NN]	discharge	entitlement	1.0,1.0,1.0,1.0
1.0	[NP]	the rate	the relations	1.0,1.0,1.0,1.0
1.4	[NN]	momentum	activism	1.0,1.0,1.0,1.0,3.0
1.2	[NN]	crime	effective	1.0,1.0,1.0,1.0,2.0
2.2	[NP]	this one	the international community	1.0,1.0,2.0,3.0,4.0
2.4	[NP]	this one	the organization 's	1.0,2.0,2.0,3.0,4.0
3.4	[NP]	a platform	the foundation	1.0,3.0,4.0,4.0,5.0
1.25	[NP]	this one	the retainer	1.0,1.0,1.0,2.0
2.2	[NNS]	harvests	seasons	1.0,2.0,2.0,3.0,3.0
2.25	[NP]	the secretary	the secretary for education and manpower	2.0,2.0,2.0,3.0
1.2	[JJ]	cultural	optical	1.0,1.0,1.0,1.0,2.0
2.6	[NNP]	hu	hungary	1.0,1.0,2.0,4.0,5.0
1.6	[NN]	crime	action	1.0,1.0,2.0,2.0,2.0
1.2	[CD]	5.1	2.1	1.0,1.0,1.0,1.0,2.0
1.4	[NN]	discharge	cleaning	1.0,1.0,1.0,1.0,3.0
4.0	[NP]	the leaders	government leaders	3.0,4.0,4.0,5.0
1.0	[NP]	a case	c. subjects	1.0,1.0,1.0,1.0,1.0
1.4	[NNS]	kinds	stories	1.0,1.0,1.0,1.0,3.0
1.75	[NP]	a case	the documentation	1.0,2.0,2.0,2.0
1.2	[PP]	in cameroon	into japan	1.0,1.0,1.0,1.0,2.0
1.0	[NNS]	kinds	vessels	1.0,1.0,1.0,1.0,1.0
1.0	[JJ]	cultural	preparatory	1.0,1.0,1.0,1.0,1.0
2.6	[NP]	deputy director	deputy secretary	2.0,2.0,2.0,3.0,4.0
1.6	[VBN]	divided	dealt	1.0,1.0,1.0,1.0,4.0
2.6	[NN]	discharge	waste	1.0,1.0,3.0,4.0,4.0
3.6	[NP]	cards	smart cards	3.0,3.0,4.0,4.0,4.0
3.4	[NN]	onset	induction	2.0,3.0,4.0,4.0,4.0
1.8	[NN]	discharge	graduation	1.0,1.0,1.0,2.0,4.0
1.0	[VB]	embark	borrow	1.0,1.0,1.0,1.0,1.0
1.2	[VB]	understand	eliminate	1.0,1.0,1.0,1.0,2.0
1.4	[VBD]	looked	brought	1.0,1.0,1.0,2.0,2.0
1.5	[NP]	a case	an event	1.0,1.0,2.0,2.0
1.4	[NP]	a case	the concern	1.0,1.0,1.0,1.0,3.0
4.2	[NN]	tavern	saloon	3.0,4.0,4.0,5.0,5.0
1.0	[JJ]	diverse	identical	1.0,1.0,1.0,1.0,1.0
2.0	[NP]	the secretary	the head	1.0,1.0,2.0,4.0
2.6	[NP]	the rate	this figure	1.0,2.0,3.0,3.0,4.0
2.6	[NN]	hunt	snoop	1.0,2.0,2.0,4.0,4.0
3.0	[NN]	onset	entry	1.0,1.0,3.0,5.0,5.0
2.2	[VBD]	learned	grew	1.0,1.0,1.0,4.0,4.0
4.2	[VP]	attacked	came under attack	2.0,4.0,5.0,5.0,5.0
2.4	[VBN]	fought	bested	1.0,2.0,3.0,3.0,3.0
2.4	[NN]	hunt	sniper	2.0,2.0,2.0,2.0,4.0
1.0	[VBG]	trying	regards	1.0,1.0,1.0,1.0,1.0
1.4	[NN]	fission	merger	1.0,1.0,1.0,1.0,3.0
1.4	[NP]	this one	the covenant	1.0,1.0,1.0,2.0,2.0
1.4	[NN]	onset	peacemaking	1.0,1.0,1.0,2.0,2.0
1.0	[CD]	5.1	44	1.0,1.0,1.0,1.0,1.0
1.2	[VBD]	looked	illustrated	1.0,1.0,1.0,1.0,2.0
1.4	[VBN]	divided	specified	1.0,1.0,1.0,2.0,2.0
1.0	[NN]	onset	day	1.0,1.0,1.0,1.0,1.0
1.0	[NNP]	january	landing	1.0,1.0,1.0,1.0,1.0
3.6	[NP]	a case	a box	1.0,4.0,4.0,4.0,5.0
3.6	[VBN]	publicised	announced	1.0,4.0,4.0,4.0,5.0
2.6	[VBN]	fought	provoked	1.0,1.0,3.0,4.0,4.0
1.4	[NP]	this one	the questionnaire	1.0,1.0,1.0,2.0,2.0
1.25	[NNS]	kinds	worlds	1.0,1.0,1.0,2.0
1.0	[NNS]	titles	lb	1.0,1.0,1.0,1.0,1.0
2.2	[VBD]	looked	validated	1.0,1.0,2.0,3.0,4.0
4.2	[VP]	attacked	taking fire	3.0,4.0,4.0,5.0,5.0
1.0	[NN]	pyramid	channel	1.0,1.0,1.0,1.0,1.0
2.0	[NP]	this one	this organization	1.0,1.0,2.0,3.0,3.0
3.0	[NP]	the limited number	the shortfall	1.0,2.0,3.0,4.0,5.0
1.4	[NN]	dictionary	registry	1.0,1.0,1.0,2.0,2.0
2.2	[RB]	firstly	specifically	1.0,1.0,2.0,3.0,4.0
2.0	[VBG]	trying	ingesting	1.0,1.0,1.0,3.0,4.0
1.0	[VBN]	divided	put	1.0,1.0,1.0,1.0,1.0
3.4	[VBD]	learned	realised	2.0,3.0,3.0,4.0,5.0
1.25	[NN]	onset	eve	1.0,1.0,1.0,2.0
1.0	[NP]	a platform	the light	1.0,1.0,1.0,1.0,1.0
1.0	[VB]	understand	tackle	1.0,1.0,1.0,1.0,1.0
4.0	[VBN]	divided	conflicted	3.0,4.0,4.0,5.0
1.0	[NN]	square	none	1.0,1.0,1.0,1.0,1.0
2.0	[PP]	in cameroon	to a country	1.0,1.0,1.0,3.0,4.0
1.4	[VBN]	wasted	busted	1.0,1.0,1.0,1.0,3.0
1.0	[NP]	the rate	the month	1.0,1.0,1.0,1.0,1.0
2.4	[NN]	crime	threat	1.0,2.0,2.0,3.0,4.0
2.4	[VB]	embark	spearhead	1.0,1.0,3.0,3.0,4.0
1.2	[NN]	discharge	demand	1.0,1.0,1.0,1.0,2.0
2.0	[NNS]	titles	letters	1.0,1.0,2.0,4.0
1.6	[NN]	bikini	uniform	1.0,1.0,1.0,2.0,3.0
1.6	[NP]	this one	those cases	1.0,1.0,2.0,2.0,2.0
1.4	[NP]	a case	the submission	1.0,1.0,1.0,1.0,3.0
1.2	[NP]	this one	the bankrupt	1.0,1.0,1.0,1.0,2.0
1.6	[NN]	crime	aggression	1.0,1.0,1.0,2.0,3.0
2.0	[VB]	embark	establish	1.0,1.0,2.0,3.0,3.0
1.6	[NP]	this one	the panel	1.0,1.0,2.0,2.0,2.0
1.25	[VBN]	fought	acted	1.0,1.0,1.0,2.0
1.0	[NN]	square	path	1.0,1.0,1.0,1.0,1.0
